60001,13,7,Peasant Woman [65] [13]
60003,14,7,Priestess [112] [14]
60004,14,10,Master Enchanter Theopolus [18801] [14]
60005,14,10,Master Prospector Orius [22518] [14]
60006,15,7,Veraina the Apothecary [73] [15]
60007,16,7,Crazy Leonetti [82] [16]
60008,17,7,Mean Ed the Blacksmith [55] [17]
60011,17,7,Vaious [229] [17]
60016,18,7,Aged Dalaran Wizard [18664] [18]
60020,20,7,Priest [111] [20]
60021,20,7,Zek Marston [224] [20]
60022,21,7,Lord Sammuel [387] [21]
60023,21,7,Bromos Murphy [388] [21]
60024,21,7,Lord Lantinga [389] [21]
60025,21,10,Exodar Aura Emitter [18599] [21]
60026,22,7,Stormwind Citizen Masculine [1724] [22]
60028,23,7,Dannus [221] [23]
60030,26,7,Gug Fatcandle [62] [26]
60031,26,7,Tunnel Rat Kobold [1202] [26]
60032,26,7,Windshear Vermin [3998] [26]
60034,26,7,Gogger Rock Keeper [11915] [26]
60035,26,7,Gogger Geomancer [11917] [26]
60036,26,7,Gogger Stonepounder [11918] [26]
60037,26,8,Transporter Malfunction [14681] [26]
60038,30,1,Night Web Spider [1505] [30]
60039,30,1,Baby Riven Widow [24219] [30]
60043,38,1,Strider Clutchmother [2172] [38]
60045,40,7,Strand of the Ancients Battlemaster [29234] [40]
60059,62,7,Programmer Vendor [130] [62]
60060,62,10,Foulmaw Hydra [1819] [62]
60061,62,10,The Duke of Fathoms [15207] [62]
60067,68,3,Magthrull's Doomguard [3878] [68]
60073,79,7,Willey [20356] [79]
60074,79,7,Renault Mograine [20358] [79]
60075,79,7,Darren Malvew OH [20366] [79]
60076,79,7,Wesley OH [20371] [79]
60077,79,7,Gordie [21434] [79]
60078,79,7,Little Noah [23050] [79]
60079,79,7,Chaddo [23107] [79]
60080,79,7,Captured Valgarde Child [24091] [79]
60081,80,7,Sally Whitemane [20357] [80]
60082,80,7,Neema OH [20375] [80]
60083,80,7,Captured Valgarde Child [24091] [80]
60084,80,7,Dalaran Child [32494] [80]
60085,80,7,Emi [32668] [80]
60087,87,7,Peasant [351] [87]
60091,89,7,Peasant (Wood) [6578] [89]
60092,89,7,Alliance Logger [17247] [89]
60093,89,7,Westguard Lumberjack (Wood) [23838] [89]
60094,89,7,Mill Courier [24007] [89]
60095,89,7,Fordragon Lumberjack [27537] [89]
60097,92,10,Centipaar Wasp [5455] [92]
60098,93,7,Hillsbrad Citizen [20429] [93]
60099,94,7,Wendy Darren [26085] [94]
60101,96,7,Hillsbrad Citizen [20430] [96]
60103,98,7,Hillsbrad Citizen [20430] [98]
60104,99,7,Hillsbrad Citizen [20430] [99]
60108,103,7,Hillsbrad Citizen [20426] [103]
60109,103,7,Mayor Quimby [28945] [103]
60110,104,7,Hillsbrad Citizen [20426] [104]
60111,105,7,Hillsbrad Citizen [20428] [105]
60115,109,7,Hillsbrad Citizen [20429] [109]
60116,110,4,Aku'mai Servant [4978] [110]
60117,110,4,Baron Aquanis [12876] [110]
60118,110,4,Azure Templar [15211] [110]
60119,110,4,Crazed Water Spirit [16570] [110]
60122,115,7,Temp Poisoning Vendor Dwarf [3559] [115]
60123,115,7,Temp Reagent Vendor Dwarf [3564] [115]
60124,115,7,Rebald Yorglun [4621] [115]
60128,127,7,Captain Edward Hanes [20400] [127]
60130,127,7,"Mad" Jonah Sterling [24742] [127]
60132,129,7,Hillsbrad Citizen [20426] [129]
60133,130,10,Theramore Incursion Master Control Program [5632] [130]
60135,134,8,Squirrel [1412] [134]
60136,134,8,Caged Squirrel [5739] [134]
