1,10045,8,路径点(只有GM可见)
2,11460,1,火星蓝龙
3,987,6,食腐者
6,10913,7,狗头人歹徒
30,382,1,森林蜘蛛
36,367,9,麦田傀儡
38,5035,7,迪菲亚暴徒
40,373,7,狗头人矿工
43,368,1,矿洞蜘蛛
46,441,7,鱼人强盗
48,200,6,骷髅战士
54,1287,7,科瑞娜·斯蒂利
60,2153,7,矿工鲁克拉尔
61,3341,7,索罗斯·莱特芬格
66,1298,7,萨瑞恩·博丁
68,3167,7,暴风城卫兵
69,604,1,森林狼
74,1289,7,库兰·斯蒂利
78,3275,7,亚努斯·哈默纳克
79,774,7,监工纳尔格
80,365,7,狗头人苦力
89,169,3,地狱火爪牙
92,171,4,石元素
94,2361,7,迪菲亚小偷
95,4418,7,迪菲亚走私者
97,10791,7,矮小的河爪豺狼人
98,376,7,河爪监工
99,3320,7,狡猾的莫加尼
100,175,7,格拉夫·疾齿
103,2073,7,加瑞克·帕德弗特
113,503,1,石牙野猪
114,378,9,看守傀儡
115,379,9,收割傀儡
116,2357,7,迪菲亚强盗
117,175,7,河爪豺狼人
118,11415,1,觅食的灰狼
119,381,1,长鼻野猪
121,2336,7,迪菲亚巡路者
122,2342,7,迪菲亚路霸
123,383,7,混血河爪豺狼人
124,384,7,河爪蛮兵
125,10790,7,河爪监工
126,983,7,滩行鱼人
127,1995,7,潮行鱼人
151,1292,7,布洛葛·哈姆菲斯特
152,3277,7,丹尼尔修士
153,14947,7,贝希娜
154,1105,1,大碎尸鸟
157,3027,1,血牙野猪
167,1844,7,摩汉·铜喉
171,1305,7,鱼人战士
190,3276,7,德尔莫特·约翰斯
193,196,2,蓝色龙人
196,3251,7,伊根·派特斯金纳
197,1859,7,治安官玛克布莱德
198,5001,7,凯尔登·布雷门
199,410,1,小碎尸鸟
202,9786,6,恐怖骸骨
203,9783,6,骷髅法师
205,736,7,夜行黑暗狼人
206,522,7,夜行邪齿狼人
210,570,6,噬骨者
212,610,7,裂拳战士
213,801,1,饥饿的恐狼
215,4276,7,迪菲亚夜行者
217,955,1,结网毒蜘蛛
218,4275,7,盗墓者
222,1845,7,尼尔伦·安德玛
223,10619,7,丹·戈萨斯
225,4331,7,加文·纳尔特里
226,4332,7,莫格·纳尔特里
227,4340,7,玛贝尔·索拉什
228,4334,7,艾瓦特·菲尔伍德
232,3614,7,农夫雷恩
233,1943,7,农夫萨丁
234,1690,7,格里安·斯托曼
235,1691,7,萨尔玛·萨丁
237,1944,7,农夫法布隆
238,1692,7,弗娜·法布隆
239,3265,7,葛瑞姆·雷酒
240,1985,7,治安官杜汉
241,3254,7,雷米
244,3330,7,斯通菲尔德妈妈
246,3329,7,波尼斯·斯通菲尔德姑妈
247,221,7,比利·马科伦
248,2959,7,米莱德·斯通菲尔德
250,3327,7,马科伦老爹
251,3323,7,梅贝尔·马科伦
252,3331,7,托米·乔·斯通菲尔德
253,5038,7,威廉·匹斯特
255,3324,7,葛拉德·提勒
257,10912,7,狗头人劳工
258,3328,7,乔舒·马科伦
261,1984,7,卫兵托马斯
263,4321,7,艾尔罗·埃伯洛克公爵
264,4322,7,指挥官阿尔泰娅·埃伯洛克
265,4323,7,伊瓦夫人
266,1741,7,黑衣威利
267,1720,7,书记员达尔塔
268,4324,7,希拉·沃宁迪
269,4309,7,儒尔·德鲁格尔
