25,1,破損的短劍
35,1,彎曲法杖
36,1,用舊的釘錘
37,1,破損的斧頭
38,1,新兵襯衣
39,0,新兵束褲
40,1,新兵的靴子
43,1,侍從的靴子
44,0,侍從束褲
45,1,侍從襯衣
47,1,盜賊輕鞋
48,0,盜賊束褲
49,1,盜賊襯衣
51,1,見習牧師的靴子
52,0,見習牧師束褲
53,1,見習牧師襯衣
55,1,學徒的靴子
56,0,學徒長袍
57,0,侍僧長袍
59,1,侍僧輕鞋
60,1,夾層外套
61,1,矮人皮甲束褲
79,1,矮人布質馬褲
80,1,柔軟的毛邊鞋
85,1,骯髒的皮外衣
100,0,Deprecated Dwarven Squire's Pants
119,1,Deprecated Rogue's Vest
120,0,刺客束褲
121,1,刺客長靴
127,1,陷捕者襯衣
128,0,Deprecated Tauren Trapper's Pants
129,1,粗厚陷捕者的靴子
139,0,打鬥者束褲
140,1,打鬥者的靴子
147,0,粗厚陷捕者束褲
148,1,粗厚陷捕者襯衣
153,0,粗糙的褶裙
154,1,粗糙的披肩
192,0,馬汀怒雷
193,1,破布外衣
194,1,破布束褲
195,1,破布長靴
200,1,粗布外衣
201,1,粗布束褲
202,1,粗布輕鞋
203,1,粗布手套
209,1,骯髒的皮褲
210,1,骯髒的皮靴
236,1,硬皮甲
237,1,硬皮束褲
238,1,硬皮長靴
239,1,硬皮手套
285,1,鱗甲外衣
286,1,鱗甲束褲
287,1,鱗甲長靴
647,4,命運
710,1,人民軍護腕
711,1,破布手套
714,1,骯髒的皮手套
718,1,鱗甲手套
719,1,馴兔手套
720,3,打鬥手套
727,2,凹槽短劍
753,2,龍喉短劍
754,3,復仇短劍
756,2,黑鐵鎬
763,1,冰覆護腕
766,1,凸緣釘錘
767,1,長杆法杖
768,1,伐木斧
776,3,仇殺
778,1,狗頭人的鎬頭
781,1,豺狼人石錘
789,2,牢固的鬥錘
790,2,森林戰斧
791,3,灰燼法杖
792,1,編織便鞋
793,1,編織手套
794,1,編織束褲
795,1,編織外套
796,1,劣質皮靴
797,1,劣質皮手套
798,1,劣質皮褲
799,1,劣質皮外衣
809,4,血剃刃
810,4,北風之錘
811,4,密林戰斧
812,4,亮木法杖
816,2,小拳刃
820,2,分割者之刃
821,2,河爪皮外衣
826,2,河爪之斧
827,2,邪惡棍棒
832,2,銀色迪菲亞腰帶
837,1,厚布護甲
838,1,厚布束褲
839,1,厚布手套
840,1,厚布鞋
843,1,棕色皮靴
844,1,棕色皮手套
845,1,棕色皮束褲
846,1,棕色皮上衣
847,1,鎖鍊護甲
848,1,鎖鍊束褲
849,1,鎖鍊長靴
850,1,鎖鍊手套
851,1,鬥士彎劍
852,1,錘
853,1,短斧
854,1,長棍
859,1,優質布襯衣
860,1,騎兵的靴子
863,2,黑暗收割者
864,2,勇武長劍
865,2,鉛質釘錘
866,2,僧侶法杖
867,4,聖力手套
868,4,熱情監護者
869,4,眩光
870,4,熾炎戰斧
871,4,風暴戰斧
872,3,切石者
873,4,喬丹法杖
880,2,恐懼法杖
885,2,黑色金屬大斧
886,2,黑色金屬短劍
888,3,納迦軍用手套
890,3,聖歌法杖
892,2,豺狼人法師手套
897,2,瘋狼護腕
899,2,毒蜘蛛的牙齒
911,2,鐵樹木棍
913,2,巨魔巨劍
914,2,巨魔鍊甲護甲
920,2,邪惡釘錘
922,1,達西安鐮刀
923,1,長劍
924,1,牢固的木槌
925,1,尖刺流星錘
926,1,大型戰鬥斧
927,1,雙面斧
928,1,長杖
934,3,斯塔文的鐮刀
935,3,守夜人短劍
936,3,午夜釘錘
937,3,暮色森林黑杖
940,4,洞察長袍
943,4,典獄官法杖
944,4,元素法杖
964,1,Deprecated Red Linen Shirt
983,1,紅色亞麻束帶
997,1,烈火劍擊
1008,1,舊劍
1009,2,緊湊戰錘
1010,1,瘤木短杖
1011,1,鋒利戰斧
1024,1,Plate Helmet D2 (test)
1026,1,Plate Helmet D3 (test)
1027,1,Mail Helmet A (Test)
1121,3,山貓之足
1131,2,懲罰圖騰
1154,1,人民軍腰帶
1155,3,夢遊者魔棒
1158,1,結實的鐵棍
1159,1,民兵長棍
1161,1,民兵短劍
1162,1,Pirates Patch (Test)
1166,1,有凹痕的圓盾
1167,1,小圓盾
1168,4,骨火
